Name,Flavor,Category,Frequency,Tier,List,Tags,Action,Range,Range Details,Requirement,Trigger,Attack,Defence,Hit,Miss,Effect,Special,Maintain,Boost
Eldritch Energy Hammer,You know how to destroy the bonds that hold magic together just as easily as you can forge them. ,Attack,Encounter,27,Elemental Flux,"Flux, Arcane, Weapon",Standard,Melee or Ranged,"weapon, one zone, summon or conjuration in range",,,Intelligence,Power user's Will,"The conjuration or zone is destroyed, or the summon takes 5dW + Intelligence modifier [flux] damage. Enemies within the zone, or enemies within Near burst 3 of the summon (if destroyed) or conjuration are subject to a secondary attack.
*Secondary Attack:* Intelligence vs Will; 3dW + Intelligence modifier [flux] damage.",,,,,
Elemental Destruction Ring,"You whip the elements around you into a fury, then unleash the energy at all the foes who surround you.",Attack,Daily,29,Elemental Flux,"Flux, Arcane, Zone, Weapon",Standard,Near,"burst 3, all enemies",,,,,4dW + Intelligence modifier [flux] damage.,,"Create a zone in Near burst 1 to you, which remains around you as you move. At the end of your turn, enemies within the zone experience an effect based on your flux: 
* Lightning: Saving throw or blinded until the end of your next turn.
* Acid: -2 penalty to attack rolls and 10 acid damage. 
* Thunder: Knocked prone, no save.
* Cold: Slowed until the end of your next turn.
* Fire: Dazed until the end of your next turn.",,Swift,
Strike of Elemental Devestation,"The ultimate expression of elemental power can only be unleashed by a master of the Elemental Flux discipline, and by calling upon the arcane forces of magic as well as the terrific power of the elements, the disciple may crush his opponents under a fierce magical assault.",Attack,Daily,29,Elemental Flux,"Flux, Arcane, Weapon",Standard,Melee or Ranged,"weapon, one target",,,Intelligence,AC,7dW + Intelligence modifier damage.,,All enemies within a number of squares of the target equal to your Constitution modifier gain vulnerability to [flux] 15.,,,
,,,,,,,,,,,,,,,,,,,
Crusader,,,,,,,,,,,,,,,,,,,
Censure Undead,You present your holy symbol and speak a prayer censuring the undead. ,Attack,Encounter,Feature,Crusader,"Divine, Focus, Radiant",Standard,Near,"burst 2 (Level 11: 5; Level 21: 8), all undead",,,Wisdom,Will,"1d8 + Wisdom modifier radiant damage. Target is pushed 3 + your Charisma modifier and immobile until the end of your next turn.
*Level 5:* 2d8 + Wisdom modifier damage; *Level 11:* 3d8 + Wisdom modifier damage; *Level 15:* 4d8 + Wisdom modifier damage; *Level 21:* 5d8 + Wisdom modifier damage; *Level 25:* 6d8 + Wisdom modifier damage.",Half damage. Target is pushed squares equal to your Charisma modifier. ,,,,
Guidance,,Utility,Encounter,Feature,Crusader,Divine,Swift,Near,"burst 3, self or one ally",,,,,,,"+1 bonus to your next attack roll or saving throw. If you do not use this bonus by the end of your next turn, you lose it.",,,
Spur On,,Utility,Encounter,Feature,Crusader,"Divine, Psychic",Immediate (Counter),Near,"burst 5, self or one ally",,The target is making an attack roll or saving throw. ,,,,,"The target takes 1d10 psychic damage, but can reroll the roll once if it misses/fails. ",,,
Infuse with Life,,Utility,Encounter,Feature,Crusader,Divine,Swift,Near,"burst 5 (Level 11: 10; Level 21: 15), self or one ally",,,,,,,"Target spends a recovery and heals their recovery value +1d6.
*Level 6:* 2d6; *Level 11:* 3d6; *Level 16:* 4d6; *Level 21:* 5d6; *Level 26:* 6d6.",,,
Light Ward,,Utility,Encounter,Feature,Crusader,Divine,Standard,Near,"burst 10, one ally",,,,,,,"The target receives a +2 bonus to all defences until the end of your next turn. The first time it is hit by an attack during this period, the attacker takes your Wisdom modifier in damage.",,,
Shielded Soul,,Utility,Encounter,Feature,Crusader,Divine,Immediate (Counter),Near,"burst 3, self or one ally",,The target takes damage.,,,,,The target gets resistance to all damage 5. *Level 11:* 10. *Level 21:* 15. ,,,
,,,,,,,,,,,,,,,,,,,
Angel's Trumpet,,,,,,,,,,,,,,,,,,,
Identify Target,,Attack,At-Will,1,Angel's Trumpet,"Martial, Focus",Standard,Ranged,"10, one enemy",,,Charisma,Will,The target grants combat advantage until the end of your next turn. The first ally to hit the target with an attack heals 1d6 + your Charisma modifier HP.,,,,,
Targeted Call,,Attack,Encounter,1,Angel's Trumpet,Martial,Standard,Near,"burst 10, one ally",,,,,,,"Choose one ally. They make a basic melee or ranged attack. In addition, until the end of the encounter, each time they hit with an attack they gain temporary HP equal to your Wisdom modifier. ",,,
Break Will,,Attack,Daily,1,Angel's Trumpet,"Martial, Focus, Psychic",Standard,Near,"burst 3, all enemies",,,Charisma,Will,The target is weakened (save ends).,,,,,
Rescuing Angel,,Attack,Daily,1,Angel's Trumpet,"Martial, Focus",Immediate (React),Near,"burst 10, one ally",,An ally in range is reduced to 0 HP or below,,,,,"Choose one ally. They make a basic melee or ranged attack against the creature that made the attack, and can add your Charisma modifier to their attack and damage. You move your speed. If you end your move adjacent to the original ally, they can spend a recovery to heal their recovery value plus your Wisdom modifier.",,,
Teaspoon of Cement,,Utility,Encounter,2,Angel's Trumpet,Martial,Immediate (Counter),Near,"burst 10, one ally",,An ally in range is hit by an attack.,,,,,The ally can spend a recovery to gain temporary hit points equal to their recovery value.,,,
Encouraging Peal,You let out shouts of encouragement to bolster your allies in battle.,Utility,Daily,2,Angel's Trumpet,Martial,Swift,Near,"burst 5, all allies",,,,,,,Targets receive a +2 power bonus on attack rolls and add your Charisma modifier to damage until the end of the encounter.,,,
The Strength Within,,Utility,Daily,2,Angel's Trumpet,Martial,Swift,Near,"burst 10, one ally or yourself",,,,,,,"The target can spend a recovery to heal their recovery value, and add your Charisma modifier to damage rolls until the end of your next turn.",,,
Pride Leader's Stance,"By adopting the mannerisms of commanding lions of the great savannahs, you inspire heroics by your presence.",Utility,Daily,2,Angel's Trumpet,"Martial, Stance",Swift,Self,,,,,,,,Allies within 10 (including yourself) have a +2 power bonus to Will defence and on saving throws.,,,
Call to Action,"By having a watchful eye on the flow of combat, you know when to spur an ally into a better position.",Attack,Encounter,3,Angel's Trumpet,"Martial, Weapon",Standard,Near,"burst 10, one enemy",,,,,,,"Choose two allies. Each ally chooses one: they may Charge the target, or make a basic melee or ranged attack against them. ",,,
Rallying Instruction,,Attack,Daily,5,Angel's Trumpet,Martial,Standard,Near,"burst 10, one ally",,,,,,,The target can make a basic melee or ranged attack. They also regain one recovery.,,,
Golden Commander Stance,"Through the use of your superior tactical ability, you are able to direct your allies in combat for maximum effectiveness. ",Utility,Encounter,6,Angel's Trumpet,"Martial, Stance",Swift,Self,,,,,,,,"Any enemies within 10 that are flanked by any allies (including yourself) count as flanked by all of your allies. For example, if A and B are flanking a goblin, ally C can attack that goblin and get the benefits of flanking, even if they make a ranged attack.",,,
Inherit Toughness,"With a cry to defend themselves from incoming attacks, your inspirational words aid your allies in their defense.",Utility,Encounter,6,Angel's Trumpet,"Martial, Healing",Swift,Near,"burst 5, all allies and yourself",,,,,,,Each target heals 10 + your Charisma modifier HP.,,,
Milestone Foe,,Attack,Encounter,7,Angel's Trumpet,Martial,Standard,Near,"burst 10, one enemy",,,,,,,"Until the end of your next turn, attacks against the target add your Charisma modifier to the attack and damage roll. If the enemy is reduced to 0 HP or below in that time, all allies within range can spend a recovery to heal their recovery value plus your Wisdom modifier. ",,,
Identify Weak Point,,Attack,Daily,9,Angel's Trumpet,"Martial, Focus",Standard,Near,"burst 10, one enemy",,,Charisma,Will,The target is vulnerable to all damage 5 until the end of the encounter.,,The target is dazed (save ends).,,,
Golden General's Victory,"You are a beacon of command on the field of battle, inspiring your troops by your mere presence.",Utility,Daily,10,Angel's Trumpet,"Martial, Healing",Swift,Near,"burst 5, all allies",,,,,,,Each target can spend a recovery to heal their recovery value. They also make a saving throw against one effect of their choice. They get a +2 power bonus to attack rolls until the end of your next turn.,,,
Restraint,,Attack,Encounter,13,Angel's Trumpet,"Martial, Focus",Standard,Near,"burst 10, one enemy",,,Charisma,Will,,,The target cannot make attacks (save ends).,,,
To Arms,,Attack,Daily,15,Angel's Trumpet,Martial,Standard,Near,"burst 10, three allies",,,,,,,"Each ally gets a free action to do one: charge, make a basic melee or ranged attack or spend a recovery to heal their recovery value. ",,,
Discipline of the Pride,"Through training with your allies, you have taught them the basics of your military skill that they may call upon in times of duress.",Utility,Encounter,16,Angel's Trumpet,Martial,Free,Near,"burst 10, one ally",,Use when you have just used a utility power with the range of Self.,,,,,"The utility power you just used as a range of ""Self and one ally within range of *discipline of the pride*",,,
Martyr,,Attack,Encounter,17,Angel's Trumpet,Martial,Immediate (React),Near,"burst 10, one ally",,You are hit by an attack,,,,,"An ally within range can make a basic melee or ranged attack or charge against the creature that made the attack. The attack has combat advantage, and adds your Wisdom modifier to attack and damage rolls. ",,,
Blitzing Yell,,Attack,Daily,19,Angel's Trumpet,Martial,Standard,Near,"burst 5, all allies",,,,,The target is stunned (save ends).,,Allies within range can spend a recovery to heal their recovery value plus your Wisdom modifier. ,,,
Lion's Feast,"As the thrill of a successful hunt invigorates a pride of lions on the plains, so does the thrill of victory over foes invigorate your allies.",Utility,Daily,22,Angel's Trumpet,"Martial, Stance, Healing",Swift,Self,,,,,,,,"Whenever an enemy within 10 is reduced to 0 HP or below, choose an ally within 10. That ally can spend a recovery and heal their recovery value plus your Charisma modifier.",,,
Alpha's Roar,"With an awesome cry for victory and bravery from your allies, you bolster allies’ defenses and attacks for a moment as your allies cannot help themselves but to win. ",Utility,Daily,22,Angel's Trumpet,Martial,Swift,Near,"burst 5, all allies",,,,,,,"Until the end of your next turn, any ally that misses with an encounter or daily attack power can choose to keep the power unexpended instead of its usual miss effect (if any). ",,,
Take Me,,Attack,Encounter,23,Angel's Trumpet,"Martial, Focus",Standard,Near,"burst 10, one enemy",,,Charisma,Will,The target is stunned (save ends) and marked.,The target is marked.,,,,
Full Suite,,Attack,Daily,25,Angel's Trumpet,Martial,Standard,Near,"burst 10, one ally",,,,,,,One ally regains all expended encounter powers. You regain one expended encounter power.,,,
Gripped with Fear,,Attack,Encounter,27,Angel's Trumpet,"Martial, Focus, Fear",Standard,Near,"burst 5, all enemies",,,Charisma,Will,"Shunt the target squares equal to your Charisma modifier. Each ally in range selects a target. If the target passes within reach, they may make an opportunity attack against that creature during the shunt. ",,,,,
Remember Me?,,Attack,Daily,29,Angel's Trumpet,Martial,Immediate (React),Near,"burst 10, one ally",,An ally has just finished an action.,,,,,"The target can repeat the last action it performed again, even if it used an expended power. ",,,
,,,,,,,,,,,,,,,,,,,
Golden Lion,,,,,,,,,,,,,,,,,,,
Pack Pounce,"By capitalizing on the opportunities granted by the presence of your allies who are attacking your foe, your lethality increases dramatically due to your knowledge of pack tactics.",Attack,At-Will,1,Golden Lion,"Martial, Weapon",Standard,Melee or Ranged,"weapon, one target",,,Strength,AC,"1dW + Strength modifier damage, +2 for every ally that is adjacent to the target.
Level 21: 2dW + Strength modifier damage, +4 for every ally that is adjacent to the target.",,,,,
Demoralizing Roar,"With a shout of rage and defiance, you wade into battle with fearless determination, shattering the resolve of your foes.",Attack,Daily,1,Golden Lion,"Martial, Focus",Standard,Near,"burst 2, all enemies",,,Strength,Will,Target is dazed (save ends),Target is dazed until the end of your next turn,,,,
